,F1,F2,F3,y
0,3.5863561797681056,-6.112399283517728,-11.619552412244841,1
1,-1.422231317125195,11.084127982359519,0.22366573288034708,0
2,6.097448430166703,-3.8718254987891125,-5.371170844662115,4
3,2.7073742175168665,-7.931237965777184,-7.142186407273939,1
4,5.960381498217401,-5.6669275697618575,11.652913529589402,3
5,3.076706913043317,-9.29857478476884,8.16865131292605,3
6,-3.768599337582976,10.767795428102973,5.74335285715825,0
7,-10.310044655281681,7.4902170574851885,3.784869797729713,2
8,-11.050944119092694,6.415143798875672,0.38161258580278434,2
9,-0.3379664122707027,-6.241180506760177,-6.1315494821213345,1
10,11.087255359931993,-5.249544285187239,-8.19727003929511,4
11,5.711985119447702,-8.062607271700209,-8.55430246187646,4
12,9.352909768369866,-5.188842971573623,-5.890664931138122,4
13,4.44100549545338,-8.77246007905538,9.148245470523355,3
14,5.589658555361094,-9.895962168480684,7.6523376897607545,3
15,7.3115361095671165,-4.686416083959353,-8.288874720073894,4
16,-1.873663558178513,5.789831513849275,6.530642216403236,0
17,4.633225018533573,-7.987366071357969,-6.1642891428151065,4
18,4.618604610956703,-5.98398049722106,10.164397467386326,3
19,-8.317002090335196,4.522506994948817,3.461974816606957,2
20,-10.623239435349817,8.033567824341736,1.5800740442871721,2
21,3.261706002959335,-6.326488885961415,-8.181536667966126,1
22,1.4677983079388042,-6.095458131749531,-7.257902968844897,1
23,9.83089142755867,-6.164754982493812,-6.452987017383184,4
24,6.49306359433768,-9.9972200734544,9.127688392452502,3
25,-0.608458258258944,10.647176290100976,1.5921268409963796,0
26,1.2653388118395297,-11.273795294113834,10.67777170683096,3
27,4.472213841950328,-8.311958778140166,-6.580686597282876,4
28,6.97867310286155,-7.141933727901237,-5.703541733944274,4
29,-0.09935177949560181,6.620965189771278,6.181235495274324,0
30,5.802562393933655,-10.091771478068962,11.665443986957985,3
31,-6.514460129723818,5.786793020870559,-0.8699558302561488,2
32,2.6097784390228354,9.802752171957524,4.88431716667346,0
33,-8.20338388717383,7.259685926211979,1.9002133839241844,2
34,4.634615057673304,-6.84889255814439,7.086946079902162,3
35,2.8614182185800026,-10.91257180501915,8.202580270269166,3
36,-7.82281241601301,7.431499752390289,-1.5825175801242586,2
37,1.4546687987802809,-4.412253348399198,-5.582261172261956,1
38,4.412304506877877,-4.267498827280014,-6.13576185523862,4
39,7.944227255021587,-10.512502151386748,9.306257027405596,3
40,5.572778329733591,-5.61938633795974,-8.834188290149998,4
41,5.969297057394621,-12.66764315263059,6.425642983339298,3
42,-8.89810870444061,6.974895505429207,1.2391706222045666,2
43,4.278153564491864,-11.077878527537004,6.004002273267382,3
44,-8.285240422850677,8.922521422507,0.7413133653258073,2
45,-0.263842253456708,6.131894607206324,4.394056223125191,0
46,-1.1399132199424131,9.794792666164605,4.470061171236437,0
47,7.204248551584753,-10.570185013826682,10.422045225298437,3
48,1.079865471059175,-9.853343473167744,9.555989236436904,3
49,-9.282049564226623,8.166891852027593,1.1518557692629188,2
50,6.599538254545448,-9.524751623942961,-7.151104392745001,4
51,6.363763080415482,-10.408231121789498,7.904040884636602,3
52,2.7412893178400335,-10.783729141550136,6.345655049795462,3
53,3.4858728225154945,-9.705675881834825,-4.386720120216772,1
54,4.095306911746262,-3.5273247260200713,-4.2081980367997005,4
55,7.848571415679726,-6.045391429497836,-7.549353721954032,4
56,3.1352137036727035,-9.927657674605332,-8.476987688110054,1
57,7.167999938968878,-5.844618248628035,-7.893484553370243,4
58,4.144902367676344,-11.081464914055106,-1.0046038989403998,1
59,1.7941244634449207,-6.154315946648932,-4.282632585388354,1
60,-3.4141220877420886,10.568385718005537,6.731021172920736,0
61,0.034770463313199995,-5.777552586666195,-3.186856591615001,1
62,-8.242363283881106,8.845332401812518,1.623242888205358,2
63,-6.780962535243226,4.690025221854589,3.4695214093219255,2
64,-10.99170809508627,6.624298541943096,2.5456261802571336,2
65,9.429895643220826,-11.198528593856537,11.31396149959384,3
66,-2.348800197971121,7.228045580939876,3.970244341438634,0
67,3.9041036154096243,-5.691127990909764,-5.9189683909615045,4
68,4.283682774655684,-8.60040637009651,11.321040413974972,3
69,1.9722784768150512,-10.119849287071917,12.265041882890223,3
70,4.221833130341219,-8.37109522937047,8.471659131918221,3
71,3.9902113334978955,-3.81624958866944,-8.178492243083305,1
72,3.578972920232104,-8.000523494130318,-3.2409634998786356,1
73,-0.5565793700905448,6.108587210053599,6.207891658056438,0
74,-2.7130966480124625,9.09855429168218,5.66905681760918,0
75,1.5651977858116481,-6.432096498260923,7.058161742042062,3
76,1.6270999265468964,-8.255946571351815,-1.9355506687306265,1
77,-2.883007868173568,8.918704373451245,2.5173535703349206,0
78,1.1724069635740961,-5.88015195092705,-5.814919374534845,1
79,-3.1934810482635125,7.1621928897753655,3.613948200956858,0
80,0.8809182774702768,-12.853426920068138,9.016101663345827,3
81,-2.108928784705905,4.672554471937501,3.6664498441426026,0
82,2.9342938987622267,-7.620273928345863,-8.54722756783448,1
83,9.048128974380264,-6.190526609426286,-9.469764762595647,4
84,7.332744541692374,-8.029176659603188,7.424624951760796,3
85,-3.365289751405219,7.529472453959976,3.2331912328132866,0
86,1.4347974205779541,-7.051904082117998,-7.238133527510917,1
87,-8.692334244689295,8.883679274931868,2.172674410076548,2
88,-3.7131349808455196,10.534788317469042,6.852537045884986,0
89,-1.9472689812163517,6.897515322504217,3.6140500862852702,0
90,3.708929813573406,-8.076203469926659,9.267101829677877,3
91,-0.4813498779009828,-3.559353284254786,-5.084332515755263,1
92,5.235633222043196,-9.485057360661536,8.986741861583939,3
93,6.934967688183216,-11.581093492418086,8.838450870907844,3
94,-2.168009215891024,10.68541692489813,2.8581921513259463,0
95,-3.3882333740013046,8.19845542265573,5.163124948173034,0
96,-8.82670663955111,7.853635005179327,1.9322465892064422,2
97,2.798310477228977,-10.738996383779584,-8.18127927638966,1
98,3.946333292203092,-10.97839743438343,9.315858089414785,3
99,-3.4960625874594036,10.860611344882226,8.053088743585025,0
100,5.217588291413379,-8.610926208665514,5.759581185910439,3
101,-10.785221239434962,7.312728162775635,4.099077746333399,2
102,-3.7611834835615507,8.2504656834608,3.812976358592702,0
103,2.770108800224505,-11.756692896128602,10.337340679936752,3
104,-5.702118167199591,6.271366851074785,1.9942611583489982,2
